Property Zip Code,Owner Type,Owner State,Homestead,Homestead Percent,HomeSEV,Land Value,Land Improvements Value,Residential Building Value,Residential Building Style,Commercial Building Value,Building Storeys,Parcel Acres,Rental,Use Type,Prop Class,Old Prop class,Year Built,USPS Vacancy,Zoning,Future Landuse,DRAFT Zone,Housing Condition 2012,Housing Condition 2014,Commercial Condition 2013,Latitude,Longitude,Hydrant Type,Ward,PRECINCT,CENTRACT,CENBLOCK,SL_Type,SL_Type2,Ed_July,Ed_March,Last_Test,Max_Lead,Med_Lead,Num_Tests,Res_Test,Sen_Test,SL_private_inspection,B_median_age_all_women,B_median_age_all_men,B_median_age_all,B_median_age_all_women_white,B_median_age_all_men_white,B_median_age_all_white,B_median_age_all_women_black,B_median_age_all_men_black,B_median_age_all_black,B_total_black_pop,B_total_white_pop,B_married_couples,B_single_women,B_married_couples_white,B_single_women_white,B_married_couples_black,B_single_women_black,B_married_couples_w_children,B_single_mothers_w_children,B_households_w_elderly,B_househod_no_elderly,B_aggregate_income,B_speak_spanish,B_speak_only_english,B_no_english,B_hispanic_household,B_imputed_rent,B_imputed_value,sl_private_type,sl_public_type
48503.0,Private,MI,Yes,100.0,8900,1425,0,44715,TWO STORY,0.0,0,0.149,No,Residential,RI,RI,1916,N,B,Traditional Neighborhood,TN-2,Good,Good, ,43.0096852,-83.67375720000003,T.C.,7,46,3200,1,11,0,0.0,0.0,FEB2016,2.0,0.0,1.0,1.0,0.0,Galvanized,20.1,33.5,20.7,-1.0,-1.0,-1.0,20.1,33.5,20.7,478,0,33,80,0,0,33,80,0,45,63,75,-1.0,0,215,0,2.0,150.0,111.0,GALVANIZED,LEAD
48505.0,Private,MI,Yes,100.0,0,946,0,14912,TWO STORY,0.0,0,0.099,No,Residential,RI,RI,1927,N,A2,Green Neighborhood,GN-1,Good,Good, ,43.056926000000004,-83.717038,Other,2,9,500,3,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,57.9,55.3,57.3,-1.0,-1.0,-1.0,58.9,55.3,58.1,147,31,22,26,0,12,22,14,0,7,46,86,,0,188,0,2.0,70.0,61.0,COPPER,LEAD
48506.0,Private,MI,Yes,100.0,0,4129,0,53634,ONE STORY,0.0,0,0.126,Yes,Residential,RI,RI,1948,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.0349549,-83.648797,T.C.,4,25,2700,3,0,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,29.0,39.3,32.2,28.8,36.4,31.7,-1.0,43.5,43.5,93,988,105,85,93,85,12,0,59,42,81,316,11207400.0,0,747,0,50.0,153.0,298.0,COPPER,COPPER
48503.0,Private,MI,No,0.0,0,18411,704,11777,CAPECOD,0.0,0,0.133,No,Residential,RI,RI,1952,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.012615000000004,-83.726621,Other,6,38,1600,5,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,42.9,44.9,44.8,54.7,55.3,55.0,51.1,44.5,45.0,279,302,135,35,63,15,72,0,65,17,76,307,6076400.0,37,344,0,18.0,152.0,234.0,COPPER,COPPER
48503.0,Private,MI,Yes,100.0,0,18750,0,87560,ONE STORY,0.0,0,0.126,Yes,Residential,RI,RI,1943,Y,A2,Traditional Neighborhood,TN-2,Good,Fair, ,43.024996,-83.660834,T.C.,7,44,3000,2,2,0,0.0,0.0,JAN2016,0.0,0.0,2.0,1.0,0.0,None,37.4,34.2,36.3,28.9,36.5,31.8,40.4,7.3,37.5,238,882,143,148,97,65,17,37,23,44,176,315,14010300.0,0,757,0,8.0,55.0,150.0,COPPER,COPPER
48505.0,Private,MI,Yes,100.0,5800,432,0,24123,TWO STORY,0.0,0,0.099,No,Residential,RI,RI,1920,N,B,Green Neighborhood,GN-1,Good,Fair, ,43.039986000000006,-83.70143890000001,Dar,5,27,1100,3,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,36.3,30.2,34.6,-1.0,-1.0,-1.0,36.4,30.2,34.8,428,0,22,23,0,0,22,23,0,10,117,54,-1.0,0,143,0,12.0,121.0,150.0,GALVANIZED,LEAD
48503.0,Private,MI,Yes,100.0,0,815,0,13584,TWO STORY,0.0,0,0.136,No,Residential,RI,RI,1900,N,B,Green Neighborhood,GN-1,Fair,Good, ,43.029292,-83.67796700000002,T.C.,7,43,2600,1,11,0,0.0,0.0,SEP2016,17.0,0.0,15.0,1.0,1.0,Galvanized,52.9,43.3,49.6,53.3,43.5,49.6,-1.0,-1.0,-1.0,0,300,48,24,48,24,0,0,8,9,65,111,5102000.0,0,280,0,51.0,147.0,82.0,GALVANIZED,LEAD
48503.0,Private,MI,No,0.0,0,722,0,19215,ONE STORY,0.0,0,0.057,Yes,Residential,RI,RI,0,N,A2,Green Neighborhood,GN-2,Good,Good, ,43.00310800000001,-83.66573690000001,Other,7,56,3200,4,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,39.7,36.0,39.6,80.5,63.2,63.3,47.0,45.4,45.4,473,22,12,66,0,0,12,58,12,18,46,183,,0,276,0,1.0,128.0,113.0,COPPER,COPPER
48503.0,Private,MI,No,0.0,0,14772,0,14855,CAPECOD,0.0,0,0.18600000000000005,No,Residential,RI,RI,1950,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.007663,-83.7299309,Dar,6,38,1600,4,1,0,0.0,0.0,MAR2016,2.0,0.0,2.0,1.0,0.0,None,30.8,36.6,32.5,37.0,44.6,41.8,19.8,28.2,26.1,380,724,147,101,119,56,11,45,68,98,130,402,10041100.0,0,826,0,14.0,162.0,329.0,COPPER,COPPER
48532.0,Private,MI,Yes,100.0,0,4000,0,89655,ONE STORY,0.0,0,0.092,Yes,Residential,RI,RI,1966,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.007385,-83.738641,T.C.,6,38,1600,4,1,0,0.0,0.0,JUN2016,0.0,0.0,1.0,1.0,0.0,None,30.8,36.6,32.5,37.0,44.6,41.8,19.8,28.2,26.1,380,724,147,101,119,56,11,45,68,98,130,402,10041100.0,0,826,0,14.0,162.0,329.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,25100,24183,2958,19749,CAPECOD,0.0,0,0.20600000000000002,No,Residential,RI,RI,1950,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.01377100000001,-83.72057099999998,Other,6,37,1600,3,1,0,0.0,0.0,FEB2016,0.0,0.0,1.0,1.0,0.0,None,32.6,20.5,26.7,34.6,20.9,29.4,20.2,19.6,20.0,46,947,90,62,90,62,0,0,10,50,176,216,23620200.0,15,845,0,40.0,47.0,313.0,COPPER,COPPER
48503.0,Private,MI,Yes,100.0,5100,409,0,26490,ONE STORY,0.0,0,0.096,No,Residential,RI,RI,2,N,B,Green Neighborhood,GN-1,Poor,Poor, ,42.99515299999999,-83.67899799999998,Dar,9,55,3800,2,11,0,0.0,0.0,OCT2015,16.0,0.0,1.0,1.0,0.0,None,29.8,28.9,29.5,30.6,33.8,31.0,22.4,1.8,22.1,291,827,61,210,51,116,10,70,20,158,125,334,6230100.0,34,622,0,33.0,185.0,105.0,COPPER,LEAD
48505.0,Private,MI,Yes,100.0,8500,659,0,16396,ONE STORY,0.0,0,0.133,No,Residential,RI,RI,1920,N,B,Green Neighborhood,GN-1,Fair,Fair, ,43.049844,-83.700232,Other,3,15,800,2,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,39.4,26.7,33.0,52.3,15.3,39.8,37.7,29.5,33.3,562,63,7,134,0,35,7,99,0,47,77,148,381200.0,0,343,0,10.0,178.0,168.0,GALVANIZED,LEAD
48503.0,Private,MI,Yes,100.0,13300,1602,0,98535,CAPECOD,0.0,0,0.113,No,Residential,RI,RI,1940,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.001677,-83.719263,A.D.,8,49,3700,4,1,0,0.0,0.0,JAN2016,2.0,0.0,1.0,1.0,0.0,None,38.8,40.0,39.0,38.4,40.1,38.7,-1.0,-1.0,-1.0,22,394,32,9,29,0,0,9,0,11,34,209,5409400.0,0,321,0,15.0,86.0,185.0,COPPER,COPPER
48505.0,Private,MI,Yes,50.0,8200,633,0,32134,TWO UNIT,0.0,0,0.12300000000000001,No,Residential,RI,RI,1922,N,B,Mixed Residential,MR-1,Fair,Fair, ,43.04699,-83.699096,Other,3,17,800,1,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,32.3,52.2,38.1,2.0,-1.0,19.3,47.1,52.2,47.5,501,51,83,79,0,22,83,57,15,62,105,146,,0,385,0,7.0,221.0,209.0,COPPER,LEAD
48503.0,Private,MI,Yes,100.0,0,312,0,4059,TWO STORY,0.0,0,0.135,No,Residential,RI,RI,1909,N,C1,Traditional Neighborhood,TN-2,Fair,Structurally Deficient, ,43.025076,-83.697616,Dar,5,29,1400,3,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,38.7,45.3,44.1,38.0,45.7,38.7,47.3,45.2,45.5,301,173,10,7,10,0,0,7,0,0,93,167,1286800.0,0,446,0,31.0,95.0,57.0,GALVANIZED,LEAD
